id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
S;Sul;2025-01-30;16447.07875
SE;Sudeste/Centro-Oeste;2025-01-30;49544.85808333
N;Norte;2025-01-31;7764.70733333
NE;Nordeste;2025-01-31;13026.52245833
S;Sul;2025-01-31;15543.76075
SE;Sudeste/Centro-Oeste;2025-01-31;47953.30633333
N;Norte;2025-02-01;7429.728875
NE;Nordeste;2025-02-01;12767.80708333
S;Sul;2025-02-01;14427.33358333
SE;Sudeste/Centro-Oeste;2025-02-01;44312.819625
N;Norte;2025-02-02;7129.51754167
NE;Nordeste;2025-02-02;12042.90154167
S;Sul;2025-02-02;13252.101375
SE;Sudeste/Centro-Oeste;2025-02-02;41377.215125
N;Norte;2025-02-03;7579.88079167
NE;Nordeste;2025-02-03;13585.376625
S;Sul;2025-02-03;17387.25733333
SE;Sudeste/Centro-Oeste;2025-02-03;48267.03329167
N;Norte;2025-02-04;7725.14570833
NE;Nordeste;2025-02-04;13495.54429167
S;Sul;2025-02-04;18285.3515
SE;Sudeste/Centro-Oeste;2025-02-04;49888.76354167
N;Norte;2025-02-05;8007.15741667
NE;Nordeste;2025-02-05;13467.02429167
S;Sul;2025-02-05;18384.70245833
SE;Sudeste/Centro-Oeste;2025-02-05;50627.12704167
N;Norte;2025-02-06;7853.70875
NE;Nordeste;2025-02-06;13291.75995833
S;Sul;2025-02-06;17796.59545833
SE;Sudeste/Centro-Oeste;2025-02-06;51533.71908333
N;Norte;2025-02-07;7831.03570833
NE;Nordeste;2025-02-07;13363.11366667
S;Sul;2025-02-07;17179.26604167
SE;Sudeste/Centro-Oeste;2025-02-07;52233.92425
N;Norte;2025-02-08;7581.69933333
NE;Nordeste;2025-02-08;12811.02120833
S;Sul;2025-02-08;14845.31458333
SE;Sudeste/Centro-Oeste;2025-02-08;47694.13758333
N;Norte;2025-02-09;7154.383875
NE;Nordeste;2025-02-09;12193.416
S;Sul;2025-02-09;14005.99429167
SE;Sudeste/Centro-Oeste;2025-02-09;44419.27
N;Norte;2025-02-10;7614.797125
NE;Nordeste;2025-02-10;13677.59645833
S;Sul;2025-02-10;18259.91266667
SE;Sudeste/Centro-Oeste;2025-02-10;51418.29020833
N;Norte;2025-02-11;7793.75958333
NE;Nordeste;2025-02-11;13743.749125
S;Sul;2025-02-11;19281.88766667
SE;Sudeste/Centro-Oeste;2025-02-11;52408.35154167
N;Norte;2025-02-12;7845.56554167
NE;Nordeste;2025-02-12;14151.20429167
S;Sul;2025-02-12;18669.80858333
SE;Sudeste/Centro-Oeste;2025-02-12;53240.741625
